epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,76.3936,1.98247,7.8254,2.23876,0.59992,0.47002,0.50736,0.24988,1.83074,6.28913,1.96713,0.000657407,0.000657407,0.067787
2,122.575,1.6855,6.31562,1.89709,0.69022,0.52716,0.58804,0.29449,1.8205,4.78644,1.89102,0.00130535,0.00130535,0.0351016
3,165.582,1.66554,6.05581,1.87034,0.63803,0.57847,0.60985,0.30181,1.78765,4.86058,1.85417,0.00193443,0.00193443,0.00239739
4,218.39,1.64719,5.91725,1.84506,0.73722,0.60114,0.66874,0.35522,1.66571,4.23983,1.75292,0.00191514,0.00191514,0.00191514
5,264.652,1.61473,5.67994,1.82448,0.71045,0.62171,0.6751,0.35583,1.6709,4.24739,1.73942,0.00188686,0.00188686,0.00188686
6,312.928,1.60213,5.62016,1.81241,0.81055,0.58502,0.68367,0.37481,1.60557,3.93523,1.67316,0.00185857,0.00185857,0.00185857
7,362.605,1.58054,5.43651,1.78223,0.75921,0.60978,0.69646,0.39169,1.5965,3.99428,1.65613,0.00183029,0.00183029,0.00183029
8,408.775,1.57491,5.35578,1.7721,0.77274,0.64675,0.71378,0.39464,1.55498,3.78607,1.62856,0.001802,0.001802,0.001802
9,462.674,1.55344,5.20181,1.75118,0.76317,0.64587,0.70661,0.3911,1.53357,3.94048,1.59964,0.00177371,0.00177371,0.00177371
10,511.156,1.54029,5.13945,1.73473,0.77916,0.62897,0.69705,0.39951,1.54533,3.60325,1.61172,0.00174543,0.00174543,0.00174543
11,558.816,1.53763,5.09409,1.72905,0.77876,0.64682,0.71696,0.40274,1.55456,3.74361,1.59761,0.00171714,0.00171714,0.00171714
12,607.243,1.51695,4.97329,1.70636,0.76079,0.64694,0.71726,0.40638,1.55084,3.57138,1.59698,0.00168886,0.00168886,0.00168886
13,656.76,1.506,4.91369,1.70279,0.79249,0.64592,0.71995,0.4077,1.52633,3.53028,1.56218,0.00166057,0.00166057,0.00166057
14,705.854,1.51027,4.85351,1.70122,0.78261,0.66166,0.73007,0.4191,1.50106,3.49003,1.55025,0.00163229,0.00163229,0.00163229
15,756.43,1.50277,4.85644,1.70249,0.77674,0.65213,0.7347,0.42529,1.49486,3.47798,1.56203,0.001604,0.001604,0.001604
16,805.743,1.4891,4.79869,1.68739,0.78038,0.65496,0.72073,0.4247,1.45877,3.60787,1.5332,0.00157571,0.00157571,0.00157571
17,863.718,1.48379,4.74426,1.68365,0.78333,0.67686,0.73252,0.42769,1.49648,3.48026,1.5527,0.00154743,0.00154743,0.00154743
18,909.394,1.4781,4.70329,1.67536,0.7777,0.67777,0.74238,0.42564,1.49111,3.34994,1.54761,0.00151914,0.00151914,0.00151914
19,957.947,1.47352,4.67322,1.67038,0.80059,0.68076,0.74256,0.42736,1.47733,3.29104,1.54139,0.00149086,0.00149086,0.00149086
20,1005.25,1.47418,4.61137,1.65744,0.81368,0.66726,0.73923,0.42917,1.47631,3.34572,1.53455,0.00146257,0.00146257,0.00146257
21,1058.09,1.4545,4.5487,1.64676,0.81117,0.6453,0.73944,0.42523,1.50074,3.40377,1.54184,0.00143429,0.00143429,0.00143429
22,1106.83,1.45053,4.55327,1.64414,0.77438,0.65316,0.72547,0.41817,1.48287,3.44493,1.52194,0.001406,0.001406,0.001406
23,1155.91,1.44986,4.52468,1.64148,0.77835,0.68287,0.74154,0.42592,1.47772,3.30703,1.52189,0.00137771,0.00137771,0.00137771
24,1205.42,1.44641,4.48378,1.63765,0.7776,0.675,0.73302,0.43391,1.46923,3.21625,1.52707,0.00134943,0.00134943,0.00134943
25,1254.31,1.44945,4.4528,1.64005,0.77729,0.67873,0.73626,0.43092,1.46633,3.27213,1.5276,0.00132114,0.00132114,0.00132114
26,1303.93,1.44128,4.44464,1.63928,0.78357,0.70592,0.74657,0.44347,1.44734,3.17846,1.4994,0.00129286,0.00129286,0.00129286
27,1351.76,1.43047,4.35647,1.62521,0.80703,0.68123,0.7523,0.43891,1.44538,3.21526,1.49858,0.00126457,0.00126457,0.00126457
28,1402.57,1.42678,4.34094,1.62206,0.80643,0.67651,0.74162,0.42806,1.46684,3.23212,1.50814,0.00123629,0.00123629,0.00123629
